"SubscriptionName","SubscriptionId","ResourceGroupName","Location","ProvisioningState","Tags"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-shared-mgmt-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-nprd-sub001"",""projeto"":""mgmt"",""ambiente"":""nprd"",""environment"":""NPrd"",""scope"":""Management""}"
"PLANAPP-nprd-sub001","e00af217-2e9b-4bcc-a0f3-1f2225db4031","pla-we-shared-nprd-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-nprd-sub001"",""projeto"":""shared"",""ambiente"":""nprd"",""environment"":""NPrd"",""scope"":""Non Production Shared Services""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","AzureBackupRG_westeurope_1","westeurope","Succeeded","{""projeto"":""AzureBackuo"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","cloud-shell-storage-westeurope","westeurope","Succeeded","{""projeto"":""storage"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","DefaultResourceGroup-NEU","northeurope","Succeeded","{""projeto"":""LogAnalytics"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","DefaultResourceGroup-SEC","swedencentral","Succeeded","{""projeto"":""projeto"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","DefaultResourceGroup-WEU","westeurope","Succeeded","{""projeto"":""projeto"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","GTP-npr-0001","westeurope","Succeeded","{""projeto"":""UTAIL"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","LogAnalyticsDefaultResources","northeurope","Succeeded","{""projeto"":""LogAnalytics"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","NetworkWatcherRG","westeurope","Succeeded","{""projeto"":""networkwatching"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg001","northeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Bruno.Costa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Project"":""SitesForesightLab2050"",""projeto"":""webpages"",""ambiente"":""prd"",""Environment"":""Prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","northeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Bruno.Costa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Project"":""SitesForesightLab2050"",""projeto"":""webpages"",""ambiente"":""prd"",""Environment"":""Prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg003","northeurope","Succeeded","{""projeto"":""webpages"",""owner"":""Bruno.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg004","northeurope","Succeeded","{""projeto"":""webpages"",""owner"":""Bruno.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg005","westus","Succeeded","{""projeto"":""webpages"",""owner"":""Bruno.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-sc-prd-ptsust-rg001","swedencentral","Succeeded","{""projeto"":""ptsustentavel"",""owner"":""Bruno.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-i4ia-rg001","westeurope","Succeeded","{""projeto"":""i4ia"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-nprd-ml-001","westeurope","Succeeded","{""projeto"":""machinelearning"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","westeurope","Succeeded","{""projeto"":""avd"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-data-dbw-rg002","westeurope","Succeeded","{""Subscription"":""Prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-data-rg001","westeurope","Succeeded","{""projeto"":""data"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-data-sphere-rg001","westeurope","Succeeded","{""projeto"":""data"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-ds-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""projeto"":""domainservice"",""ambiente"":""prd"",""Scope"":""Identity and Domain Services"",""Subscription"":""PlanApp-prd-sub001"",""Environment"":""Prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-finopshub-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""application"":""finopshub"",""owner"":""helena.gomes@planapp.gov.pt"",""ambiente"":""prd"",""projeto"":""finops"",""Environment"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","westeurope","Succeeded","{""projeto"":""foresight"",""owner"":""carlos.martins@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-lideranc-rg001","westeurope","Succeeded","{""projeto"":""avaliacaolideranca"",""owner"":""Bruno.Costa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-netsec-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-prd-sub001"",""projeto"":""netsec"",""ambiente"":""prd"",""environment"":""Prd"",""scope"":""Network and Security""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-shared-costm-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-prd-sub001"",""projeto"":""costm"",""ambiente"":""prd"",""environment"":""Production"",""scope"":""Management""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-shared-mgmt-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""Subscription"":""PlanApp-prd-sub001"",""projeto"":""mgmt"",""ambiente"":""prd"",""environment"":""Prd"",""scope"":""Management""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-shared-prd-rg001","westeurope","Succeeded","{""centrocusto"":""CC - 001"",""Owner"":""Cesar.Rosa@planapp.gov.pt"",""departamento"":""EMSITDIA"",""projeto"":""shared"",""ambiente"":""prd"",""Scope"":""Management"",""Subscription"":""PlanApp-prd-sub001"",""Environment"":""Prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","rg-ai-pr-sc-001","swedencentral","Succeeded","{""projeto"":""projeto"",""owner"":""Tiago.Louro@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","vm-tmplate-avd_group","westeurope","Succeeded","{""projeto"":""projeto"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""prd""}"
"PLANAPP-shared-backup-sub001","52276eb8-8ee4-4964-bdde-c2f7df448bd5","pla-we-prd-backup365-001","westeurope","Succeeded","{""projeto"":""backup"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""shared""}"
"PLANAPP-shared-datagov-sub001","1beacf55-f3bd-45c4-ac76-fedf91e8eced","cloud-shell-storage-westeurope","westeurope","Succeeded","{""projeto"":""purview"",""owner"":""helena.gomes@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""shared""}"
"PLANAPP-shared-datagov-sub001","1beacf55-f3bd-45c4-ac76-fedf91e8eced","DefaultResourceGroup-NEU","northeurope","Succeeded","{""projeto"":""purview"",""owner"":""helena.gomes@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""shared""}"
"PLANAPP-shared-fabric-sub001","09ba5ec5-4e90-40cd-9887-f3b98b93b502","Fabric_RG_001","westeurope","Succeeded","{""projeto"":""fabric"",""owner"":""luis.santos@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""shared""}"
"PLANAPP-temp-azure-sub001","51322027-cd87-4845-8add-e411310c2ede","AI2","northeurope","Succeeded","{""projeto"":""AI2"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""descom""}"
"PLANAPP-temp-azure-sub001","51322027-cd87-4845-8add-e411310c2ede","cloud-shell-storage-westeurope","westeurope","Succeeded","{""projeto"":""shellstorage"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""descom""}"
"PLANAPP-temp-azure-sub001","51322027-cd87-4845-8add-e411310c2ede","NetworkWatcherRG","northeurope","Succeeded","{""projeto"":""networkwatching"",""owner"":""Cesar.Rosa@planapp.gov.pt"",""centrocusto"":""CC - 001"",""departamento"":""EMSITDIA"",""ambiente"":""descom""}"
