"SubscriptionName","SubscriptionId","ResourceGroup","Name","Type","Location","Kind","SKU","ProvisioningState","Tags","TagsOK","TagsFaltando","NamingOK","NamingIssue","PrefixEsperado"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","azcae5u3e7b567y2fg","microsoft.app/managedenvironments","westeurope","","","Succeeded","{""Subscription"":""Prd"",""azd-env-name"":""prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cae-[workload]-[ambiente]-[regiao]-NNN'","cae"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-i4ia-rg001","cae-i4ia-001","microsoft.app/managedenvironments","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","True","","cae"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","legal-text-extractor-env","microsoft.app/managedenvironments","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cae-[workload]-[ambiente]-[regiao]-NNN'","cae"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","preenchimento-parecer","microsoft.app/managedenvironments","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cae-[workload]-[ambiente]-[regiao]-NNN'","cae"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","legal-text-extractor.planapp-azcae5u3-251115225420","microsoft.app/managedenvironments/managedcertificates","westeurope","","","Failed","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","legal-text-extractor.planapp-legal-te-251117103405","microsoft.app/managedenvironments/managedcertificates","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","preenchimento-parecer.planap-preenchi-251205171532","microsoft.app/managedenvironments/managedcertificates","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","verificar-criterios-ip.plana-azcae5u3-251115222536","microsoft.app/managedenvironments/managedcertificates","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","planapp-gov-cert-wildcard","microsoft.certificateregistration/certificateorders","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","planappgovpt","microsoft.certificateregistration/certificateorders","global","","","Succeeded","{}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg005","planapppt","microsoft.certificateregistration/certificateorders","global","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg005","ptsustentavel","microsoft.certificateregistration/certificateorders","global","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","siailplanappgovpt","microsoft.certificateregistration/certificateorders","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","rg-ai-pr-sc-001","ai-pr-sc-001-resource","microsoft.cognitiveservices/accounts","swedencentral","AIServices","{""name"":""S0""}","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'","cog"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","carlo-mh3hy4t3-swedencentral","microsoft.cognitiveservices/accounts","swedencentral","AIServices","{""name"":""S0""}","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'","cog"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","foresigh-openai","microsoft.cognitiveservices/accounts","westeurope","OpenAI","{""name"":""S0""}","Succeeded","{""Environment"":""Production"",""Project"":""Foresight"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'","cog"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","gtp-npr-0001","gpt-utail-nprd-001","microsoft.cognitiveservices/accounts","westeurope","OpenAI","{""name"":""S0""}","Succeeded","{""owner"":""Cesar.Rosa@planapp.gov.pt"",""Subscription"":""Prd"",""ambiente"":""prd"",""departamento"":""EMSITDIA"",""projeto"":""UTAIL"",""centrocusto"":""CC - 001""}","True","","False","Nome não segue padrão v2.0: esperado 'cog-[workload]-[ambiente]-[regiao]-NNN'","cog"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","rg-ai-pr-sc-001","ai-pr-sc-001-resource/ai-pr-sc-001","microsoft.cognitiveservices/accounts/projects","swedencentral","AIServices","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","10milhoes-prd-comservice","microsoft.communication/communicationservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","clube2050-prd-comservice","microsoft.communication/communicationservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","congressodofuturo-prd-comservice","microsoft.communication/communicationservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","envision-prd-comservice","microsoft.communication/communicationservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","lab2050-prd-comservice","microsoft.communication/communicationservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg004","portalplan-1ada35a364-acsendpoint","microsoft.communication/communicationservices","global","","","Succeeded","{""Subscription"":""Prd"",""WordPressDeploymentID"":""portal-planapp-1ada35a364"",""AppProfile"":""Wordpress""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-acsendpoint","microsoft.communication/communicationservices","global","","","Succeeded","{""Subscription"":""Prd"",""WordPressDeploymentID"":""ptsustentavel-fcfca31c83"",""AppProfile"":""Wordpress""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","10milhoes-prd-emailservice","microsoft.communication/emailservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","clube2050-prd-emailservice","microsoft.communication/emailservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","congressodofuturo-prd-emailservice","microsoft.communication/emailservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","envision-prd-emailservice","microsoft.communication/emailservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","lab2050-prd-emailservice","microsoft.communication/emailservices","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg004","portalplan-1ada35a364-emailacsendpoint","microsoft.communication/emailservices","global","","","Succeeded","{""Subscription"":""Prd"",""WordPressDeploymentID"":""portal-planapp-1ada35a364"",""AppProfile"":""Wordpress""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-emailacsendpoint","microsoft.communication/emailservices","global","","","Succeeded","{""Subscription"":""Prd"",""WordPressDeploymentID"":""ptsustentavel-fcfca31c83"",""AppProfile"":""Wordpress""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg004","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Subscription"":""Prd"",""WordPressDeploymentID"":""portal-planapp-1ada35a364"",""AppProfile"":""Wordpress""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-sc-prd-ptsust-rg001","AzureManagedDomain","microsoft.communication/emailservices/domains","global","","","Succeeded","{""Subscription"":""Prd"",""WordPressDeploymentID"":""ptsustentavel-fcfca31c83"",""AppProfile"":""Wordpress""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","avd-ha-3-0_OsDisk_1_f0ca8bf1b01c455c884a3a020cf1a88a","microsoft.compute/disks","westeurope","","{""name"":""StandardSSD_LRS"",""tier"":""Standard""}","Succeeded","{""cm-resource-parent"":""/subscriptions/4fae9137-e1bc-4ee1-ba0a-00cde430bfb3/resourceGroups/pla-we-prd-avd-rg001/providers/Microsoft.DesktopVirtualization/hostpools/pla-we-vdpool-002"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'","disk"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-shared-mgmt-rg001","vm-prd-mgmt001-OSDisk","microsoft.compute/disks","westeurope","","{""name"":""Standard_LRS"",""tier"":""Standard""}","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""N.A."",""Subscription"":""PlanApp-prd-sub001"",""Scope"":""Management""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'disk-[workload]-[ambiente]-[regiao]-NNN'","disk"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","plaweprdgallery001","microsoft.compute/galleries","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cgall-[workload]-[ambiente]-[regiao]-NNN'","cgall"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","pla-avd-template-image001","microsoft.compute/galleries/images","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","1.0.0","microsoft.compute/galleries/images/versions","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","1.1.0","microsoft.compute/galleries/images/versions","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","azurebackuprg_westeurope_1","AzureBackup_vm-prd-fs001_35185589274593","microsoft.compute/restorepointcollections","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-ne-prd-sites-rg002","vm-prd-siail001-DiskSnapshot-full","microsoft.compute/snapshots","northeurope","","{""name"":""Standard_LRS"",""tier"":""Standard""}","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""SitesForesightLab2050"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'snap-[workload]-[ambiente]-[regiao]-NNN'","snap"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","avd-ha-3-0","microsoft.compute/virtualmachines","westeurope","","","Succeeded","{""cm-resource-parent"":""/subscriptions/4fae9137-e1bc-4ee1-ba0a-00cde430bfb3/resourceGroups/pla-we-prd-avd-rg001/providers/Microsoft.DesktopVirtualization/hostpools/pla-we-vdpool-002"",""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'vm-[workload]-[ambiente]-[regiao]-NNN'","vm"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-shared-mgmt-rg001","vm-prd-mgmt001","microsoft.compute/virtualmachines","westeurope","","","Succeeded","{""Environment"":""Prd"",""Owner"":""cesar.rosa@planapp.gov.pt"",""Project"":""N.A."",""Subscription"":""PlanApp-prd-sub001"",""Scope"":""Management""}","False","departamento, ambiente, projeto, centrocusto","True","","vm"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","AADLogin","microsoft.compute/virtualmachines/extensions","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","Microsoft.PowerShell.DSC","microsoft.compute/virtualmachines/extensions","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-avd-rg001","joindomain","microsoft.compute/virtualmachines/extensions","westeurope","","","Failed","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","n8n-foresight","microsoft.containerinstance/containergroups","westeurope","","","Succeeded","{""Environment"":""Production"",""Service"":""n8n"",""Subscription"":""Prd"",""Version"":""2.21.7"",""Proxy"":""Caddy"",""HTTPS"":""Enabled""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-nprd-ml-001","20b8b8ac96c44c1eb29519bbf5b47698","microsoft.containerregistry/registries","westeurope","","{""name"":""Basic"",""tier"":""Basic""}","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'","cr"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-foresigh-rg001","foresighcr001","microsoft.containerregistry/registries","westeurope","","{""name"":""Standard"",""tier"":""Standard""}","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'","cr"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-i4ia-rg001","iai4001","microsoft.containerregistry/registries","westeurope","","{""name"":""Standard"",""tier"":""Standard""}","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'","cr"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-prd-lideranc-rg001","lideranca","microsoft.containerregistry/registries","westeurope","","{""name"":""Standard"",""tier"":""Standard""}","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Nome não segue padrão v2.0: esperado 'cr-[workload]-[ambiente]-[regiao]-NNN'","cr"
"PLANAPP-prd-sub001","4fae9137-e1bc-4ee1-ba0a-00cde430bfb3","pla-we-i4ia-rg001","diaplanapp083000","microsoft.containerregistry/registries/webhooks","westeurope","","","Succeeded","{""Subscription"":""Prd""}","False","departamento, ambiente, projeto, centrocusto","False","Tipo de recurso sem prefixo mapeado na política v2.0",
